game_id,team_id,player_id,player_name,team_name,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100313,1610612742,203493,Reggie Bullock,Dallas Mavericks,0.0,0.0,0.0,0,0,0,1,3,7,1,3,7
g0042100313,1610612744,1629673,Jordan Poole,Golden State Warriors,100.0,0,50.0,4,0,2,0,0,2,4,0,4
g0042100314,1610612742,203915,Spencer Dinwiddie,Dallas Mavericks,100.0,0.0,40.0,4,0,2,0,2,3,4,2,5
g0042100314,1610612744,1630228,Jonathan Kuminga,Golden State Warriors,75.0,50.0,33.33,6,4,1,2,4,2,8,8,3
g0042100314,1610612744,1627814,Damion Lee,Golden State Warriors,0,60.0,0.0,0,3,0,0,2,1,0,5,1
g0042100314,1610612742,1628973,Jalen Brunson,Dallas Mavericks,80.0,40.0,50.0,4,4,1,1,6,1,5,10,2
g0042100314,1610612744,203952,Andrew Wiggins,Golden State Warriors,100.0,50.0,33.33,2,4,1,0,4,2,2,8,3
g0042100314,1610612742,1627827,Dorian Finney-Smith,Dallas Mavericks,50.0,83.33,57.14,1,5,4,1,1,3,2,6,7
g0042100314,1610612742,1628467,Maxi Kleber,Dallas Mavericks,100.0,100.0,66.67,1,3,2,0,0,1,1,3,3
g0042100314,1610612744,1626172,Kevon Looney,Golden State Warriors,33.33,33.33,0,1,1,0,2,2,0,3,3,0
g0042100314,1610612744,202691,Klay Thompson,Golden State Warriors,0.0,75.0,33.33,0,3,2,1,1,4,1,4,6
g0042100314,1610612744,1630541,Moses Moody,Golden State Warriors,0,50.0,66.67,0,2,2,0,2,1,0,4,3
g0042100314,1610612744,201939,Stephen Curry,Golden State Warriors,80.0,45.45,40.0,4,5,2,1,6,3,5,11,5
g0042100314,1610612742,1628373,Frank Ntilikina,Dallas Mavericks,0,100.0,100.0,0,1,1,0,0,0,0,1,1
g0042100314,1610612742,202722,Davis Bertans,Dallas Mavericks,0,50.0,25.0,0,1,1,0,1,3,0,2,4
g0042100314,1610612742,1629029,Luka Doncic,Dallas Mavericks,70.0,46.67,27.27,7,7,3,3,8,8,10,15,11
g0042100314,1610612744,203110,Draymond Green,Golden State Warriors,40.0,66.67,0.0,2,4,0,3,2,2,5,6,2
g0042100314,1610612742,203493,Reggie Bullock,Dallas Mavericks,0,0,60.0,0,0,6,0,0,4,0,0,10
g0042100314,1610612744,1629673,Jordan Poole,Golden State Warriors,100.0,60.0,40.0,2,3,2,0,2,3,2,5,5
g0042100314,1610612744,202357,Nemanja Bjelica,Golden State Warriors,0,100.0,0,0,2,0,0,0,0,0,2,0
g0042100315,1610612742,1628425,Sterling Brown,Dallas Mavericks,100.0,0.0,0,2,0,0,0,1,0,2,1,0
g0042100315,1610612742,203915,Spencer Dinwiddie,Dallas Mavericks,77.78,40.0,71.43,7,2,5,2,3,2,9,5,7
g0042100315,1610612742,203939,Dwight Powell,Dallas Mavericks,100.0,100.0,0,1,1,0,0,0,0,1,1,0
g0042100315,1610612742,1628973,Jalen Brunson,Dallas Mavericks,66.67,37.5,0.0,4,3,0,2,5,2,6,8,2
g0042100315,1610612744,203952,Andrew Wiggins,Golden State Warriors,100.0,77.78,0.0,4,7,0,0,2,7,4,9,7
g0042100315,1610612742,1627827,Dorian Finney-Smith,Dallas Mavericks,0,83.33,25.0,0,5,1,0,1,3,0,6,4
g0042100315,1610612742,1628467,Maxi Kleber,Dallas Mavericks,0,50.0,50.0,0,2,1,0,2,1,0,4,2
g0042100315,1610612744,1626172,Kevon Looney,Golden State Warriors,0,62.5,0,0,5,0,0,3,0,0,8,0
g0042100315,1610612744,202691,Klay Thompson,Golden State Warriors,0,44.44,50.0,0,4,8,0,5,8,0,9,16
g0042100315,1610612744,1630541,Moses Moody,Golden State Warriors,100.0,50.0,100.0,2,1,1,0,1,0,2,2,1
